ID,Priority,Augment_Name,Category,Rarity,Affected_Stats,Description,Sprite_path,WhoImplements,TargetTypes
190,2,Enemy confusion,Enemy,Epic,{enemy_pathfinding_error: 0.15},15% chance enemies take wrong paths,Resources/Sprites/Augments/190,Patryk,
191,2,Reduced boss frequency,Enemy,Rare,{boss_spawn_rate: -0.40},Boss enemies spawn 40% less frequently,Resources/Sprites/Augments/191,Patryk,
192,2,Enemy equipment malfunction,Enemy,Epic,{enemy_ability_failure_rate: 0.20},20% chance enemy special abilities fail,Resources/Sprites/Augments/192,Patryk,
193,2,Vulnerable enemies,Enemy,Rare,{enemy_critical_hit_vulnerability: 0.30},Enemies take 30% more damage from critical hits,Resources/Sprites/Augments/193,Patryk,
194,2,Enemy coordination problems,Enemy,Epic,{enemy_group_bonus: -0.50},Enemies get 50% less benefit from group tactics,Resources/Sprites/Augments/194,Patryk,
195,2,Strategic positions,Map,Rare,{high_ground_positions: 5},Adds 5 elevated positions with tactical advantages,Resources/Sprites/Augments/195,Patryk,
196,2,Shorter enemy paths,Map,Epic,{enemy_path_length: -0.20},Enemy paths are 20% shorter,Resources/Sprites/Augments/196,Patryk,
197,2,Resource bonus zones,Map,Common,{resource_generation_zones: 2},Creates 2 zones with increased resource generation,Resources/Sprites/Augments/197,Patryk,
198,2,Natural barriers,Map,Rare,NULL,Adds natural obstacles that slow enemy movement,Resources/Sprites/Augments/198,Patryk,
199,2,Mineral deposits,Map,Common,{mineral_resource_rate: 0.50},Mineral-based resources generate 50% faster,Resources/Sprites/Augments/199,Patryk,
200,2,Water features,Map,Rare,NULL,Adds rivers or lakes that affect movement and provide tactical options,Resources/Sprites/Augments/200,Patryk,
201,2,Open sightlines,Map,Common,{tower_vision_range: 0.30},All towers have 30% better vision range,Resources/Sprites/Augments/201,Patryk,
202,2,Defensive positions,Map,Epic,{defensive_bonus_locations: 4},Creates 4 locations with natural defensive bonuses,Resources/Sprites/Augments/202,Patryk,
203,2,Salvage opportunities,Map,Common,{destroyed_enemy_resources: 0.15},Destroyed enemies have 15% chance to drop salvageable materials,Resources/Sprites/Augments/203,Patryk,
204,2,Exploration bonuses,Map,Rare,NULL,Hidden areas contain resource caches or upgrade materials,Resources/Sprites/Augments/204,Patryk,
205,2,Stable ground,Map,Common,{tower_stability_bonus: 0.20},Towers on stable ground have 20% better performance,Resources/Sprites/Augments/205,Patryk,
206,2,Communication network,Map,Epic,NULL,Improved coordination between all defensive systems,Resources/Sprites/Augments/206,Patryk,
207,2,Resource optimization,Synergy,Rare,{resource_efficiency_when_full: 0.30},All systems run 30% more efficiently when resources are abundant,Resources/Sprites/Augments/207,Patryk,
208,2,Combined arms tactics,Synergy,Epic,"{player_attack_when_towers_active: 0.20, tower_damage_when_player_nearby: 0.20}",Player and towers boost each other when working together,Resources/Sprites/Augments/208,Patryk,
209,2,Defensive coordination,Synergy,Rare,{defensive_systems_synergy: 0.25},All defensive systems work 25% better when multiple types are active,Resources/Sprites/Augments/209,Patryk,
210,2,Efficient logistics,Synergy,Common,{cost_reduction_when_organized: 0.15},All costs reduced by 15% when player maintains good resource management,Resources/Sprites/Augments/210,Patryk,
211,2,Tactical awareness,Synergy,Epic,{information_sharing_bonus: 0.30},Better information sharing improves all system effectiveness by 30%,Resources/Sprites/Augments/211,Patryk,
212,2,Integrated systems,Synergy,Legendary,{full_integration_bonus: 0.40},All systems gain 40% efficiency when player energy and towers are optimally coordinated,Resources/Sprites/Augments/212,Patryk,
213,2,Combat experience,Synergy,Rare,{experience_combat_bonus: 0.50},Gain 50% more experience when actively fighting alongside towers,Resources/Sprites/Augments/213,Patryk,
214,2,Income increase,Economy,Common,{passive_income_rate: 0.35},Increases passive resource generation by 35%,Resources/Sprites/Augments/214,Patryk,
215,2,Bulk purchase discount,Economy,Rare,{bulk_discount: 0.25},Get 25% discount when purchasing multiple items at once,Resources/Sprites/Augments/215,Patryk,
216,2,Resource conversion,Economy,Epic,NULL,Allows converting between different resource types at favorable rates,Resources/Sprites/Augments/216,Patryk,
217,2,Economic efficiency,Economy,Common,{resource_waste_reduction: 0.30},Reduces resource waste in all operations by 30%,Resources/Sprites/Augments/217,Patryk,
218,2,Investment returns,Economy,Epic,{long_term_investment_bonus: 0.60},Resources not spent immediately generate 60% returns over time,Resources/Sprites/Augments/218,Patryk,
219,2,Trading post,Economy,Rare,NULL,Unlocks ability to trade resources with neutral factions,Resources/Sprites/Augments/219,Patryk,
220,2,Resource insurance,Economy,Epic,{resource_loss_protection: 0.70},Protects 70% of resources when facilities are destroyed,Resources/Sprites/Augments/220,Patryk,
221,2,Emergency fund,Economy,Common,{emergency_resource_reserve: 0.20},Maintains 20% of all resources as emergency backup,Resources/Sprites/Augments/221,Patryk,
222,2,Quality of life upgrade,Utility,Common,NULL,Improves overall user interface and control responsiveness,Resources/Sprites/Augments/222,Patryk,
223,2,Quick build mode,Utility,Rare,{build_speed: 2.0},Towers and structures build twice as fast,Resources/Sprites/Augments/223,Patryk,
224,2,Repair automation,Utility,Epic,NULL,Damaged structures automatically begin repair when resources are available,Resources/Sprites/Augments/224,Patryk,
225,2,Strategic overview,Utility,Common,NULL,Provides enhanced minimap with tactical information,Resources/Sprites/Augments/225,Patryk,
226,2,Hotkey customization,Utility,Common,NULL,Allows full customization of control schemes,Resources/Sprites/Augments/226,Patryk,
227,2,Performance optimization,Utility,Rare,NULL,Improves game performance and reduces resource usage on system,Resources/Sprites/Augments/227,Patryk,
228,2,Save state protection,Utility,Epic,NULL,Automatically creates backup saves at critical moments,Resources/Sprites/Augments/228,Patryk,
229,2,Undo last action,Utility,Legendary,NULL,Allows undoing the last construction or upgrade decision (once per wave),Resources/Sprites/Augments/229,Patryk,
230,2,Batch operations,Utility,Rare,NULL,Allows selecting and upgrading multiple towers simultaneously,Resources/Sprites/Augments/230,Patryk,
231,2,Unlocked heavy melee weapon,Player,"Rare, Epic, Legendary",NULL,Unlocked heavy melee weapon,Resources/Sprites/Augments/231,Patryk,
232,2,Unlocked dagger melee weapon,Player,"Rare, Epic, Legendary",NULL,Unlocked dagger weapon,Resources/Sprites/Augments/232,Patryk,
233,2,Shadow Clone,Player,Legendary,NULL,Create a shadow copy that mimics your attacks for 10 seconds (60s cooldown),Resources/Sprites/Augments/233,Patryk,
234,2,Wall Climbing,Player,Rare,NULL,Player can climb walls and attack from elevated positions,Resources/Sprites/Augments/234,Patryk,
235,2,Inventory Expansion,Player,Common,{player_inventory_slots: 5},Add 5 additional inventory slots for carrying items and consumables,Resources/Sprites/Augments/235,Patryk,
236,2,Tool Belt,Player,Rare,NULL,Player can carry and quickly switch between 3 different weapon types,Resources/Sprites/Augments/236,Patryk,
237,2,Jetpack Boost,Player,Epic,NULL,Short-range flight ability with limited fuel that regenerates over time,Resources/Sprites/Augments/237,Patryk,
238,2,Thermal Vision,Player,Rare,NULL,See enemy heat signatures through walls and detect weak points for bonus damage,Resources/Sprites/Augments/238,Patryk,
239,2,Magnetic Boots,Player,Common,NULL,Walk on metal surfaces and structures including tower exteriors,Resources/Sprites/Augments/239,Patryk,
240,2,Overwatch Protocol,Player,Legendary,NULL,When player stops moving for 3+ seconds gain 200% accuracy and 50% damage,Resources/Sprites/Augments/240,Patryk,
241,2,Battle Scarred,Player,Rare,{player_damage_resistance_per_scar: 0.03},Gain 3% damage resistance for each time you've been critically injured (permanent),Resources/Sprites/Augments/241,Patryk,
242,2,Emergency Teleport,Player,Epic,NULL,Instantly teleport to nearest tower when health drops below 15% (once per wave),Resources/Sprites/Augments/242,Patryk,
243,2,Bunker Buster Towers,Tower,Epic,{tower_structure_damage: 3.0},Towers deal triple damage to enemy structures and heavily armored targets,Resources/Sprites/Augments/243,Kuba,
244,2,Adaptive Ammunition,Tower,Rare,NULL,Towers automatically switch ammunition type to counter current enemy types,Resources/Sprites/Augments/244,Kuba,
245,2,Siege Mode,Tower,Epic,"{tower_range: 1.5, tower_damage: 0.80, tower_mobility: 0}",Towers gain massive range and damage but cannot rotate or move,Resources/Sprites/Augments/245,Kuba,
246,2,Proximity Sensors,Tower,Rare,{tower_early_warning: 2.0},Towers detect approaching enemies 2 seconds earlier than normal,Resources/Sprites/Augments/246,Kuba,
247,2,Ammunition Factories,Tower,Epic,NULL,Certain towers generate ammunition for other towers reducing overall resource consumption,Resources/Sprites/Augments/247,Kuba,
248,2,Camouflage Netting,Tower,Common,{tower_stealth_rating: 0.60},Towers are 60% less likely to be targeted by enemy special attacks,Resources/Sprites/Augments/248,Kuba,
249,2,Overheating Prevention,Tower,Rare,{tower_sustained_fire_bonus: 0.45},Towers can fire continuously without performance degradation,Resources/Sprites/Augments/249,Kuba,
250,2,Targeting Computer,Tower,Epic,{tower_weak_spot_detection: 0.35},35% chance to hit enemy weak spots for double damage,Resources/Sprites/Augments/250,Kuba,
251,2,Ammo Conservation,Tower,Common,{tower_ammo_efficiency: 0.30},Towers use 30% less ammunition per shot,Resources/Sprites/Augments/251,Kuba,
252,2,Tower Networking,Tower,Epic,{tower_information_sharing: 1.0},Towers share targeting data improving accuracy of nearby towers,Resources/Sprites/Augments/252,Kuba,
253,2,Rapid Deployment,Tower,Rare,{tower_emergency_build_speed: 4.0},Can instantly build basic towers during combat at 2x resource cost,Resources/Sprites/Augments/253,Kuba,
254,2,Maintenance Drones,Tower,Rare,NULL,Small drones automatically perform routine maintenance extending tower lifespan,Resources/Sprites/Augments/254,Kuba,
255,2,Ricochet Systems,Tower,Epic,{tower_projectile_bounces: 2},Tower projectiles can bounce off surfaces to hit enemies around corners,Resources/Sprites/Augments/255,Kuba,
256,2,Solar Collection Arrays,Energy,Common,{energy_generation_daylight_hours: 0.55},Generate 55% more energy during daylight hours,Resources/Sprites/Augments/256,Kuba,
257,2,Kinetic Harvesters,Energy,Rare,{energy_from_movement: 0.15},Generate energy from player movement and enemy activity nearby,Resources/Sprites/Augments/257,Kuba,
258,2,Fusion Reactor Core,Energy,Legendary,"{energy_output: 4.0, fusion_instability_risk: 0.05}",Massive energy output but 5% chance of catastrophic failure,Resources/Sprites/Augments/258,Kuba,
259,2,Tidal Generators,Energy,Epic,{energy_from_water_proximity: 0.80},Generate 80% more energy when placed near water sources,Resources/Sprites/Augments/259,Kuba,
260,2,Battery Banks,Energy,Common,{energy_storage_buffer: 0.70},Increase energy storage capacity and provide power during outages,Resources/Sprites/Augments/260,Kuba,
261,2,Energy Theft Systems,Energy,Epic,NULL,Can tap into enemy energy sources and redirect power to your grid,Resources/Sprites/Augments/261,Kuba,
262,2,Superconductor Cables,Energy,Rare,{energy_transmission_loss: -0.80},Reduce energy loss during transmission by 80%,Resources/Sprites/Augments/262,Kuba,
263,2,Energy Weaponization,Energy,Legendary,NULL,Convert excess energy into direct-damage energy beams targeting enemies,Resources/Sprites/Augments/263,Kuba,
264,2,Backup Power Cells,Energy,Common,{emergency_power_duration: 30},Provide 30 seconds of backup power when main generators fail,Resources/Sprites/Augments/264,Kuba,
265,2,Energy Amplification,Energy,Epic,{energy_cascade_effect: 0.25},Each generator boosts nearby generators' output by 25%,Resources/Sprites/Augments/265,Kuba,
266,2,Piezoelectric Floors,Energy,Rare,{energy_from_footsteps: 2},Generate energy from player and enemy movement across special floor tiles,Resources/Sprites/Augments/266,Kuba,
267,2,Lightning Rods,Energy,Epic,{energy_from_weather: 0.40},Harness 40% more energy during storms and adverse weather,Resources/Sprites/Augments/267,Kuba,
268,2,Energy Compression,Energy,Rare,{energy_density: 2.0},Store twice as much energy in the same physical space,Resources/Sprites/Augments/268,Kuba,
269,2,Emergency Lockdown,Central Core,Legendary,NULL,Core becomes invulnerable for 30 seconds but all other systems shut down (once per game),Resources/Sprites/Augments/269,Kuba,
270,2,Core Overcharge,Central Core,Epic,"{all_systems_boost: 0.50, core_energy_drain: 2.0}",Boost all connected systems by 50% but drain core energy rapidly,Resources/Sprites/Augments/270,Kuba,
271,2,Redundant Core Systems,Central Core,Rare,{core_critical_failure_immunity: 1.0},Core cannot be destroyed by single devastating attacks,Resources/Sprites/Augments/271,Kuba,
272,2,Signal Amplification,Central Core,Common,{core_communication_range: 1.0},Extend command and control range for all connected systems,Resources/Sprites/Augments/272,Kuba,
273,2,Core Evacuation Pod,Central Core,Epic,NULL,Automatically evacuate core to safety location when health drops below 10%,Resources/Sprites/Augments/273,Kuba,
274,2,Core Transformation,Central Core,Legendary,NULL,Core can reconfigure itself to adapt to different types of attacks,Resources/Sprites/Augments/274,Kuba,
275,2,Mobile Core Platform,Central Core,Epic,{core_mobility: 1.0},Core can slowly relocate to more defensible positions,Resources/Sprites/Augments/275,Kuba,
276,2,Quantum Entanglement Core,Central Core,Legendary,NULL,Core exists in multiple dimensions simultaneously making it nearly impossible to destroy,Resources/Sprites/Augments/276,Kuba,
277,2,Core Hibernation Mode,Central Core,Epic,{core_dormant_protection: 0.90},Core can enter low-power mode reducing detectability by 90%,Resources/Sprites/Augments/277,Kuba,
278,2,Core Replication,Central Core,Legendary,NULL,Create backup core that activates if primary core is destroyed,Resources/Sprites/Augments/278,Kuba,
279,2,Viral Infection Immunity,Player,Rare,{player_status_effect_resistance: 0.80},80% resistance to poison disease and other biological effects,Resources/Sprites/Augments/279,Patryk,
280,2,Cybernetic Enhancement,Player,Epic,"{player_reaction_time: 0.50, player_accuracy: 0.40}",Cybernetic implants improve reaction time and accuracy,Resources/Sprites/Augments/280,Patryk,
281,2,Metamorphosis,Player,Legendary,NULL,Transform into different creature types with unique abilities for limited time,Resources/Sprites/Augments/281,Patryk,
282,2,Gravity Manipulation,Player,Legendary,"{player_gravity_control: 1.0, energy_cost_per_use: 50}",Temporarily alter gravity in small area affecting enemy movement,Resources/Sprites/Augments/282,Patryk,
283,2,Nanobots Injection,Player,Epic,{player_healing_over_time: 0.10},Nanobots continuously repair damage healing 10% max health per minute,Resources/Sprites/Augments/283,Patryk,
284,2,DNA Scanning,Player,Rare,NULL,Scan defeated enemies to unlock their abilities for temporary use,Resources/Sprites/Augments/284,Patryk,
285,2,Biorhythm Synchronization,Player,Rare,{player_efficiency_cycles: 0.25},Player effectiveness varies in cycles providing periods of enhanced performance,Resources/Sprites/Augments/285,Patryk,
286,2,Molecular Disruptors,Tower,Legendary,{tower_molecular_damage: 2.0},Towers can disrupt enemy molecular structure ignoring conventional armor,Resources/Sprites/Augments/286,Kuba,
287,2,Dimensional Rifts,Tower,Epic,NULL,Open small portals that redirect enemy attacks to other dimensions,Resources/Sprites/Augments/287,Kuba,
288,2,Memory Metal Construction,Tower,Rare,{tower_self_repair_after_damage: 0.60},Towers made of memory metal slowly return to original shape after damage,Resources/Sprites/Augments/288,Kuba,
289,2,Swarm Intelligence,Tower,Epic,{tower_collective_intelligence: 1.0},Towers develop emergent intelligence becoming more effective over time,Resources/Sprites/Augments/289,Kuba,
290,2,Metamaterial Cloaking,Tower,Legendary,{tower_invisibility_phases: 0.30},Towers can become invisible for 30% of the time cycling on and off,Resources/Sprites/Augments/290,Kuba,
291,2,Bio-Mechanical Fusion,Tower,Epic,{tower_organic_adaptation: 0.40},Towers incorporate biological components allowing them to evolve and adapt,Resources/Sprites/Augments/291,Kuba,
292,2,Quantum Tunneling Shots,Tower,Legendary,{tower_quantum_penetration: 1.0},Tower projectiles can tunnel through solid matter to hit targets,Resources/Sprites/Augments/292,Kuba,
293,2,Dark Matter Reactors,Energy,Legendary,"{energy_exotic_matter: 10.0, dimensional_instability: 0.10}",Harness dark matter for massive energy but risk dimensional tears,Resources/Sprites/Augments/293,Kuba,
294,2,Biological Power Cells,Energy,Epic,{energy_from_organic_matter: 0.60},Convert organic waste and biological material into usable energy,Resources/Sprites/Augments/294,Kuba,
295,2,Psychic Energy Harvesting,Energy,Legendary,{energy_from_mental_activity: 0.30},Generate energy from concentrated mental activity and psychic phenomena,Resources/Sprites/Augments/295,Kuba,
296,2,Antimatter Containment,Energy,Legendary,"{energy_antimatter_output: 20.0, containment_failure_risk: 0.02}",Incredible energy output but catastrophic failure possible,Resources/Sprites/Augments/296,Kuba,
297,2,Crystal Resonance Arrays,Energy,Epic,{energy_crystal_amplification: 1.2},Use resonating crystals to amplify and focus energy production,Resources/Sprites/Augments/297,Kuba,
298,2,Temporal Energy Loops,Energy,Legendary,{energy_time_manipulation: 0.80},Create closed time loops to generate energy from temporal paradoxes,Resources/Sprites/Augments/298,Kuba,
299,2,Void Energy Tapping,Energy,Epic,{energy_from_empty_space: 0.45},Extract energy from quantum vacuum fluctuations in empty space,Resources/Sprites/Augments/299,Kuba,
300,2,Neural Network Power,Energy,Epic,{energy_from_ai_processing: 0.25},Generate energy from artificial intelligence processing activities,Resources/Sprites/Augments/300,Kuba,
301,2,Stellar Fusion Mimicry,Energy,Legendary,{energy_miniature_star: 15.0},Create miniature star-like fusion reactions for massive energy output,Resources/Sprites/Augments/301,Kuba,
302,2,Emotional Energy Conversion,Energy,Rare,{energy_from_emotions: 0.20},Convert strong emotions (fear anger excitement) into usable energy,Resources/Sprites/Augments/302,Kuba,
303,2,Consciousness Transfer Pod,Central Core,Legendary,NULL,Core can transfer consciousness to backup systems ensuring continuity of command,Resources/Sprites/Augments/303,Kuba,
304,2,Reality Anchor System,Central Core,Epic,{core_dimensional_stability: 1.0},Prevent dimensional rifts and reality distortions near the core,Resources/Sprites/Augments/304,Kuba,
305,2,Probability Manipulation,Central Core,Legendary,{core_luck_modification: 0.30},Core can slightly alter probability increasing favorable outcomes by 30%,Resources/Sprites/Augments/305,Kuba,
306,2,Hive Mind Interface,Central Core,Epic,{core_collective_consciousness: 1.0},Core can interface directly with all connected systems and personnel,Resources/Sprites/Augments/306,Kuba,
307,2,Quantum Superposition Core,Central Core,Legendary,NULL,Core exists in multiple states simultaneously until observed by enemies,Resources/Sprites/Augments/307,Kuba,
308,2,Universal Translator,Central Core,Rare,NULL,Core can communicate with and potentially negotiate with intelligent enemy species,Resources/Sprites/Augments/308,Kuba,
309,2,Time Loop Generator,Central Core,Legendary,NULL,Create temporal loop around core area allowing multiple attempts at defense,Resources/Sprites/Augments/309,Kuba,
310,2,Consciousness Backup Network,Central Core,Epic,{core_memory_redundancy: 3},Core maintains 3 backup copies of all critical data and consciousness,Resources/Sprites/Augments/310,Kuba,
311,2,Interdimensional Communication,Central Core,Epic,NULL,Core can communicate with parallel universe versions for strategic advice,Resources/Sprites/Augments/311,Kuba,
312,2,Genesis Protocol,Central Core,Legendary,NULL,If everything else fails core can restart civilization from stored genetic and cultural templates,Resources/Sprites/Augments/312,Kuba,
313,1,Increase fire defense,Player,"Common, Epic",{player_fire_defense: +0.15},Increased fire defense of the player by 15%,Resources/Sprites/Augments/313,Patryk,
